model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,transfer_uncertainty_mean_entropy,final_model,note
cnn_openmax,0,1,accuracy,0.7947368421052632,0.868421052631579,0.0736842105263158,0.7947368421052632,0.868421052631579,0.9096385542168675,0.9939759036144579,0.0,0.0,0.0,0.0,,transfer,
cnn_openmax,0,2,accuracy,0.8210526315789474,0.8789473684210526,0.05789473684210522,0.8210526315789474,0.8789473684210526,0.9341317365269461,1.0,0.0,0.0,0.0,0.0,,transfer,
cnn_openmax,0,3,accuracy,0.8210526315789474,0.8315789473684211,0.010526315789473717,0.8210526315789474,0.8315789473684211,0.9873417721518988,1.0,0.0,0.0,0.0,0.0,,transfer,
cnn_openmax,1,0,accuracy,0.7478991596638656,0.8025210084033614,0.054621848739495826,0.7478991596638656,0.8025210084033614,0.9319371727748691,1.0,0.0,0.0,0.0,0.0,,transfer,
cnn_openmax,1,2,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,1,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,2,0,accuracy,0.4392523364485981,0.4439252336448598,0.004672897196261683,0.4392523364485981,0.4439252336448598,0.9894736842105263,1.0,0.0,0.0,0.0,0.0,,transfer,
cnn_openmax,2,1,accuracy,0.36398467432950193,0.36398467432950193,0.0,0.36398467432950193,0.36398467432950193,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,2,3,accuracy,0.5,0.5,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,3,0,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,3,1,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
cnn_openmax,3,2,accuracy,0.8380281690140845,0.8380281690140845,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept
