model,source,target,comparison_metric,baseline_score,transfer_score,improvement,baseline_accuracy,transfer_accuracy,baseline_common_acc,transfer_common_acc,baseline_outlier_acc,transfer_outlier_acc,baseline_hscore,transfer_hscore,final_model,note
cnn_features_1d,0,1,common,0.9096385542168675,0.9698795180722891,0.06024096385542166,0.7947368421052632,0.8473684210526315,0.9096385542168675,0.9698795180722891,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d,0,2,common,0.9341317365269461,0.9401197604790419,0.0059880239520957446,0.8210526315789474,0.8263157894736842,0.9341317365269461,0.9401197604790419,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d,0,3,common,0.9873417721518988,0.9873417721518988,0.0,0.8210526315789474,0.8210526315789474,0.9873417721518988,0.9873417721518988,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,1,0,common,0.9319371727748691,0.9476439790575916,0.015706806282722474,0.7478991596638656,0.7605042016806722,0.9319371727748691,0.9476439790575916,0.0,0.0,0.0,0.0,transfer,
cnn_features_1d,1,2,common,1.0,1.0,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,1,3,common,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,2,0,common,0.9894736842105263,0.9894736842105263,0.0,0.4392523364485981,0.4392523364485981,0.9894736842105263,0.9894736842105263,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,2,1,common,1.0,1.0,0.0,0.36398467432950193,0.36398467432950193,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,2,3,common,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,3,0,common,1.0,1.0,0.0,0.5052631578947369,0.5052631578947369,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,3,1,common,1.0,1.0,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
cnn_features_1d,3,2,common,1.0,1.0,0.0,0.8380281690140845,0.8380281690140845,1.0,1.0,0.0,0.0,0.0,0.0,baseline,baseline_kept
