model_base,source,target,comparison_metric_base,baseline_score_base,transfer_score_base,improvement_base,raw_transfer_score_base,raw_improvement_base,baseline_accuracy_base,transfer_accuracy_base,raw_transfer_accuracy_base,baseline_common_acc_base,transfer_common_acc_base,raw_transfer_common_acc_base,baseline_outlier_acc_base,transfer_outlier_acc_base,raw_transfer_outlier_acc_base,baseline_hscore_base,transfer_hscore_base,raw_transfer_hscore_base,transfer_uncertainty_mean_entropy_base,final_model_base,note_base,model_improved,comparison_metric_improved,baseline_score_improved,transfer_score_improved,improvement_improved,raw_transfer_score_improved,raw_improvement_improved,baseline_accuracy_improved,transfer_accuracy_improved,raw_transfer_accuracy_improved,baseline_common_acc_improved,transfer_common_acc_improved,raw_transfer_common_acc_improved,baseline_outlier_acc_improved,transfer_outlier_acc_improved,raw_transfer_outlier_acc_improved,baseline_hscore_improved,transfer_hscore_improved,raw_transfer_hscore_improved,transfer_uncertainty_mean_entropy_improved,final_model_improved,note_improved,pair,delta
cnn_features_1d,0,1,accuracy,0.7947368421052632,0.8473684210526315,0.0526315789473683,0.8473684210526315,0.0526315789473683,0.7947368421052632,0.8473684210526315,0.8473684210526315,0.9096385542168676,0.9698795180722892,0.9698795180722892,0.0,0.0,0.0,0.0,0.0,0.0,,transfer,,cnn_openmax,accuracy,0.3789473684210526,0.8631578947368421,0.4842105263157895,0.8631578947368421,0.4842105263157895,0.3789473684210526,0.8631578947368421,0.8631578947368421,0.4337349397590361,0.9879518072289156,0.9879518072289156,0.0,0.0,0.0,0.0,0.0,0.0,0.200002701359948,transfer,,"Load 0 (0 HP, 1797 rpm)→Load 1 (1 HP, 1772 rpm)",0.015789473684210575
cnn_features_1d,0,2,accuracy,0.8210526315789474,0.8263157894736842,0.0052631578947368,0.8263157894736842,0.0052631578947368,0.8210526315789474,0.8263157894736842,0.8263157894736842,0.934131736526946,0.940119760479042,0.940119760479042,0.0,0.0,0.0,0.0,0.0,0.0,,transfer,,cnn_openmax,accuracy,0.5,0.8789473684210526,0.3789473684210526,0.8789473684210526,0.3789473684210526,0.5,0.8789473684210526,0.8789473684210526,0.5688622754491018,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024932228163571,transfer,,"Load 0 (0 HP, 1797 rpm)→Load 2 (2 HP, 1750 rpm)",0.05263157894736836
cnn_features_1d,0,3,accuracy,0.8210526315789474,0.8210526315789474,0.0,0.8140350877192982,-0.0070175438596491,0.8210526315789474,0.8210526315789474,0.8140350877192982,0.9873417721518988,0.9873417721518988,0.978902953586498,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.8035087719298246,0.8315789473684211,0.0280701754385964,0.8315789473684211,0.0280701754385964,0.8035087719298246,0.8315789473684211,0.8315789473684211,0.9662447257383966,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1347734182186653,transfer,,"Load 0 (0 HP, 1797 rpm)→Load 3 (3 HP, 1730 rpm)",0.010526315789473717
cnn_features_1d,1,0,accuracy,0.7478991596638656,0.7605042016806722,0.0126050420168066,0.7605042016806722,0.0126050420168066,0.7478991596638656,0.7605042016806722,0.7605042016806722,0.9319371727748692,0.9476439790575916,0.9476439790575916,0.0,0.0,0.0,0.0,0.0,0.0,,transfer,,cnn_openmax,accuracy,0.6848739495798319,0.7521008403361344,0.0672268907563025,0.7521008403361344,0.0672268907563025,0.6848739495798319,0.7521008403361344,0.7521008403361344,0.8534031413612565,0.93717277486911,0.93717277486911,0.0,0.0,0.0,0.0,0.0,0.0,0.2267720233022916,transfer,,"Load 1 (1 HP, 1772 rpm)→Load 0 (0 HP, 1797 rpm)",-0.008403361344537785
cnn_features_1d,1,2,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,0.5052631578947369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.3789473684210526,0.5052631578947369,0.1263157894736842,0.5052631578947369,0.1263157894736842,0.3789473684210526,0.5052631578947369,0.5052631578947369,0.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4425506104617134,transfer,,"Load 1 (1 HP, 1772 rpm)→Load 2 (2 HP, 1750 rpm)",0.0
cnn_features_1d,1,3,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995199999209339,baseline,baseline_kept,"Load 1 (1 HP, 1772 rpm)→Load 3 (3 HP, 1730 rpm)",0.0
cnn_features_1d,2,0,accuracy,0.4392523364485981,0.4392523364485981,0.0,0.4345794392523364,-0.0046728971962616,0.4392523364485981,0.4392523364485981,0.4345794392523364,0.9894736842105264,0.9894736842105264,0.9789473684210528,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.4299065420560747,0.4439252336448598,0.014018691588785,0.4439252336448598,0.014018691588785,0.4299065420560747,0.4439252336448598,0.4439252336448598,0.968421052631579,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679727109438504,transfer,,"Load 2 (2 HP, 1750 rpm)→Load 0 (0 HP, 1797 rpm)",0.004672897196261683
cnn_features_1d,2,1,accuracy,0.3639846743295019,0.3639846743295019,0.0,0.3601532567049808,-0.0038314176245211,0.3639846743295019,0.3639846743295019,0.3601532567049808,1.0,1.0,0.9894736842105264,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.3639846743295019,0.3639846743295019,0.0,0.3639846743295019,0.0,0.3639846743295019,0.3639846743295019,0.3639846743295019,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.220595708641427,baseline,baseline_kept,"Load 2 (2 HP, 1750 rpm)→Load 1 (1 HP, 1772 rpm)",0.0
cnn_features_1d,2,3,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079252431013931,baseline,baseline_kept,"Load 2 (2 HP, 1750 rpm)→Load 3 (3 HP, 1730 rpm)",0.0
cnn_features_1d,3,0,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,0.5052631578947369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,baseline,baseline_kept,cnn_openmax,accuracy,0.5052631578947369,0.5052631578947369,0.0,0.5052631578947369,0.0,0.5052631578947369,0.5052631578947369,0.5052631578947369,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4561610925801735,baseline,baseline_kept,"Load 3 (3 HP, 1730 rpm)→Load 0 (0 HP, 1797 rpm)",0.0
