Transfer Task,CNN-SA - Initial Learning Rate,CNN-SA - Batch Size,CNN-SA - Hidden Size,CNN-SA - Dropout Rate,CNN-SA - Bottleneck Size,CNN-Openmax-SA - Initial Learning Rate,CNN-Openmax-SA - Batch Size,CNN-Openmax-SA - Hidden Size,CNN-Openmax-SA - Dropout Rate,CNN-Openmax-SA - Bottleneck Size,WideResnet - Initial Learning Rate,WideResnet - Batch Size,WideResnet - Hidden Size,WideResnet - Dropout Rate,WideResnet - Bottleneck Size,WideResnet-SA - Initial Learning Rate,WideResnet-SA - Batch Size,WideResnet-SA - Hidden Size,WideResnet-SA - Dropout Rate,WideResnet-SA - Bottleneck Size,WideResnet-Openmax-SA - Initial Learning Rate,WideResnet-Openmax-SA - Batch Size,WideResnet-Openmax-SA - Hidden Size,WideResnet-Openmax-SA - Dropout Rate,WideResnet-Openmax-SA - Bottleneck Size
[0 to 1],8.55e-05,32,128,0.16,128,0.00076,128,256,0.36,128,0.00378,256,256,0.39,128,0.00859,64,1024,0.38,128,0.000266,64,1024,0.49,128
[0 to 2],0.0043,128,512,0.29,128,0.0077,64,256,0.49,128,0.0136,128,256,0.42,128,0.0181,32,512,0.27,128,0.00035,32,1024,0.25,128
[0 to 3],0.0021,64,512,0.319,128,0.00079,128,512,0.334,128,0.0021,64,1024,0.111,128,0.0175,32,128,0.423,128,0.00014,64,128,0.154,128
[1 to 0],2.05e-05,32,512,0.4,128,0.0013,32,1024,0.44,128,0.0011,32,1024,0.14,128,0.0039,256,256,0.34,128,0.0018,32,256,0.46,128
[1 to 2],6.04e-05,32,1024,0.48,128,0.00065,64,256,0.5,128,0.01,64,512,0.24,128,0.015,64,1024,0.2576,128,0.0028,128,256,0.46,128
[1 to 3],0.00063,64,512,0.25,128,0.000613,64,512,0.21,128,0.00565,64,128,0.36,128,0.00975,32,128,0.5,128,0.000175,64,1024,0.47,128
[2 to 0],0.00105,32,1024,0.198,128,0.00044,32,256,0.4895,128,0.0016,64,128,0.165,128,0.0318,64,128,0.2576,128,9.36e-05,64,1024,0.368,128
[2 to 1],3.47e-05,64,1024,0.462,128,0.0167,256,512,0.291,128,0.00514,256,128,0.369,128,0.0302,64,512,0.2958,128,0.0075,256,512,0.495,128
[2 to 3],0.00199,32,256,0.224,128,0.000139,64,512,0.474,128,0.00182,64,256,0.224,128,0.00962,32,256,0.222,128,0.0169,64,256,0.4132,128
[3 to 0],0.00996,32,1024,0.324,128,0.00114,64,1024,0.48,128,0.017,32,1024,0.299,128,0.0033,64,128,0.125,128,0.019,128,128,0.281,128
[3 to 1],0.0048,256,256,0.361,128,0.035,256,128,0.261,128,0.00701,256,1024,0.325,128,0.000885,256,1024,0.473,128,0.00145,128,256,0.146,128
[3 to 2],0.000203,256,1024,0.131,128,0.0074,256,512,0.372,128,0.0148,256,1024,0.399,128,0.0068,256,512,0.254,128,0.003,32,256,0.377,128
