filename,battery_name,nominal_capacity,anode,cathode,electrolyte,dataset_name
batch_B14B_cell_5.h5,CAMP_batch_B14B_cell_5,0.3,C,HE5050,Gen 2,camp_2023
batch_B38C_cell_4.h5,CAMP_batch_B38C_cell_4,,C,NMC622,Gen 2,camp_2023
batch_B14B_cell_5.h5,CAMP_batch_B14B_cell_5,0.3,C,HE5050,Gen 2,camp_2023
batch_B38C_cell_4.h5,CAMP_batch_B38C_cell_4,,C,NMC622,Gen 2,camp_2023
batch_B26T_cell_2.h5,CAMP_batch_B26T_cell_2,0.25,C,5Vspinel,E16,camp_2023
batch_B28A_cell_48.h5,CAMP_batch_B28A_cell_48,0.3,C_Si,NMC532,Gen 2,camp_2023
batch_B16A_cell_9.h5,CAMP_batch_B16A_cell_9,0.4,C_Si,NMC532,Gen 2,camp_2023
batch_B19A_cell_12.h5,CAMP_batch_B19A_cell_12,0.5,C,FCG,Gen 2,camp_2023
batch_B7A_cell_20.h5,CAMP_batch_B7A_cell_20,0.3,C,NMC532,Gen 2,camp_2023
batch_B34B_cell_3.h5,CAMP_batch_B34B_cell_3,0.02,C,NMC811,Gen 2,camp_2023
batch_B11B_cell_4.h5,CAMP_batch_B11B_cell_4,0.2,LTO,5Vspinel,R&D,camp_2023
batch_B12A_cell_1.h5,CAMP_batch_B12A_cell_1,0.3,C,HE5050,Gen 2,camp_2023
batch_B13A_cell_8.h5,CAMP_batch_B13A_cell_8,0.4,C, Li1.35Ni0.33Mn0.67O2.35,Gen 2,camp_2023
batch_B19A_cell_7.h5,CAMP_batch_B19A_cell_7,0.5,C,FCG,Gen 2,camp_2023
batch_B26AA_cell_1.h5,CAMP_batch_B26AA_cell_1,0.25,C,5Vspinel,Gen 2,camp_2023
batch_B28B_cell_3.h5,CAMP_batch_B28B_cell_3,0.3,C,NMC532,Gen 2,camp_2023
batch_B20B_cell_6.h5,CAMP_batch_B20B_cell_6,,C_Si,NMC532,Gen2,camp_2023
batch_B35H_cell_1.h5,CAMP_batch_B35H_cell_1,,C_LICGC,NMC532,Gen 2,camp_2023
batch_B26W_cell_4.h5,CAMP_batch_B26W_cell_4,0.25,C,5Vspinel,E19,camp_2023
batch_B7B_cell_8.h5,CAMP_batch_B7B_cell_8,0.3,C,NMC532,Gen 2,camp_2023
batch_B26Y_cell_2.h5,CAMP_batch_B26Y_cell_2,0.25,C,5Vspinel,E21,camp_2023
batch_B17A_cell_4.h5,CAMP_batch_B17A_cell_4,0.2,C_Si,NMC532,Gen 2,camp_2023
batch_B7A_cell_24.h5,CAMP_batch_B7A_cell_24,0.3,C,NMC532,Gen 2,camp_2023
batch_B14B_cell_1.h5,CAMP_batch_B14B_cell_1,0.3,C,HE5050,Gen 2,camp_2023
batch_B12A_cell_5.h5,CAMP_batch_B12A_cell_5,0.3,C,HE5050,Gen 2,camp_2023
batch_B26O_cell_4.h5,CAMP_batch_B26O_cell_4,0.25,C,5Vspinel,E11,camp_2023
batch_B26Q_cell_5.h5,CAMP_batch_B26Q_cell_5,0.25,C,5Vspinel,E13,camp_2023
batch_B9A_cell_9.h5,CAMP_batch_B9A_cell_9,0.3,C,HE5050,Gen 2,camp_2023
batch_B9C_cell_5.h5,CAMP_batch_B9C_cell_5,0.3,C,HE5050,Gen 2,camp_2023
batch_B34A_cell_1.h5,CAMP_batch_B34A_cell_1,0.02,C,NMC811,Gen 2,camp_2023
batch_B26L_cell_2.h5,CAMP_batch_B26L_cell_2,0.25,C,5Vspinel,E8,camp_2023
batch_B12B_cell_3.h5,CAMP_batch_B12B_cell_3,0.3,C,HE5050,Gen 2,camp_2023
batch_B14D_cell_4.h5,CAMP_batch_B14D_cell_4,0.3,C,HE5050,Gen 2,camp_2023
batch_B37B_cell_4.h5,CAMP_batch_B37B_cell_4,,C_Si,NMC622,Gen 2,camp_2023
